,GTHKW Nossener Bruecke,HKW Klingenberg 1-3,HKW Mitte GUD,HKW Nord GuD Nord,HKW Tiefstack GuD,Lichterfelde GUD,GuD Marzahn,Block AGuD,Block F,Block GT 11,Block GT 12,Block GT1,Block GT2,DESBR____CHP____,Emsland B,Emsland C,Emsland D,Gersteinwerk F,Gersteinwerk G,Gersteinwerk I,Gersteinwerk K1,GuD Dormagen,HERDECKE_H6,HKW IIIB,KMW_KW2,KMW_KW3,KW Hamm-Uentrop Block 10,KW Hamm-Uentrop Block 20,Knapsack 1,Knapsack 2,NIEHL-3,Weisweiler VGT - BI. G,Weisweiler VGT - BI. H,NIEHL-II-DT,NIEHL-II-GT,GuD-Anlage-HKW-Merkenich,Block B,Franken I Block 1,Franken I Block 2 + GT,GKB Mittelsbueren GuD,GuD-Block,HKW West Block 4,Huntorf GT,Irsching 3,Irsching 4,Irsching 5,KW Mittelsbueren Block 4,Küstenkraftwerk,Staudinger 4,Sued GuD1 GT2,Sued GuD1 GT3,Sued GuD2 DT60,Sued GuD2 GT61,Sued GuD2 GT62,Block 07 Linz,DO3,GDK-Mellach Linie 10,GDK-Mellach Linie 20,KW Theiß M3,KW Theiß M5,Kraftwerk Timelkam GUD,Lau GuD,Sim1,Sim3,Rya KVV,Suomenoja 2 GT,Vuosaari VuB4,Vuosaari VuB5,Vuosaari VuB6
,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas
2019-12-31 23:00:00+00:00,251.0,138.0,425.0,129.0,2.0,201.0,,0.0,351.0,195.0,190.0,149.0,148.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,164.0,179.0,0.0,0.0,0.0,67.0,88.0,90.0,65.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,787.0,235.0,0.0,0.0,162.0,0.0,55.0
2020-01-01 00:00:00+00:00,251.0,138.0,422.0,89.0,2.0,201.0,,0.0,348.0,197.0,192.0,147.0,147.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,149.0,179.0,0.0,0.0,0.0,67.0,86.0,90.0,64.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,782.0,258.0,0.0,0.0,162.0,0.0,55.0
2020-01-01 01:00:00+00:00,251.0,138.0,422.0,77.0,2.0,201.0,,0.0,353.0,199.0,194.0,147.0,146.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,163.0,179.0,0.0,0.0,0.0,66.0,86.0,90.0,64.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,183.0,0.0,0.0,162.0,0.0,55.0
2020-01-01 02:00:00+00:00,251.0,138.0,444.0,77.0,3.0,201.0,,0.0,366.0,195.0,190.0,148.0,148.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,144.0,179.0,0.0,0.0,0.0,67.0,88.0,90.0,64.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,142.0,0.0,0.0,162.0,0.0,55.0
2020-01-01 03:00:00+00:00,251.0,138.0,444.0,78.0,9.0,201.0,,0.0,353.0,190.0,185.0,149.0,149.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,152.0,179.0,0.0,0.0,0.0,69.0,92.0,95.0,64.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,146.0,0.0,0.0,162.0,1.0,55.0
2020-01-01 04:00:00+00:00,251.0,138.0,443.0,77.0,60.0,201.0,,0.0,350.0,189.0,184.0,150.0,150.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,154.0,178.0,0.0,0.0,0.0,73.0,100.0,103.0,64.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,194.0,0.0,0.0,123.0,60.0,51.0
2020-01-01 05:00:00+00:00,252.0,137.0,440.0,91.0,112.0,201.0,,0.0,350.0,194.0,189.0,148.0,147.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,145.0,179.0,0.0,0.0,0.0,76.0,106.0,110.0,64.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,235.0,0.0,0.0,89.0,91.0,75.0
2020-01-01 06:00:00+00:00,252.0,137.0,440.0,120.0,114.0,200.0,,0.0,373.0,210.0,205.0,126.0,125.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,144.0,179.0,0.0,0.0,0.0,95.0,110.0,114.0,64.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,236.0,0.0,0.0,108.0,110.0,100.0
2020-01-01 07:00:00+00:00,252.0,137.0,440.0,150.0,114.0,200.0,,0.0,453.0,208.0,203.0,127.0,126.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,141.0,176.0,0.0,0.0,0.0,100.0,110.0,115.0,64.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,202.0,0.0,0.0,129.0,132.0,113.0
