,Block AGuD,Block E,Block F,Block GT 11,Block GT 12,Block GT1,Block GT2,DESBR____CHP____,Emsland B,Emsland C,Emsland D,Gersteinwerk F,Gersteinwerk G,Gersteinwerk I,Gersteinwerk K1,GuD Dormagen,GuD-Anlage-HKW-Merkenich,HERDECKE_H6,HKW IIIB,KMW_KW2,KMW_KW3,KW Hamm-Uentrop Block 10,KW Hamm-Uentrop Block 20,Knapsack 1,Knapsack 2,NIEHL-3,NIEHL-II-DT,NIEHL-II-GT,Weisweiler VGT - BI. G,Weisweiler VGT - BI. H,Block B,Franken I Block 1,Franken I Block 2 + GT,GKB Mittelsbueren GuD,GuD-Block,Huntorf GT,Irsching 3,Irsching 4,Irsching 5,KW Mittelsbueren Block 4,Staudinger 4,Sued GuD1 GT2,Sued GuD1 GT3,Sued GuD2 DT60,Sued GuD2 GT61,Sued GuD2 GT62,HKW West Block 4,Küstenkraftwerk,GTHKW Nossener Bruecke,HKW Klingenberg 1-3,HKW Lichterfelde Block 1,HKW Mitte GUD,HKW Nord GuD Nord,HKW Tiefstack GuD,Lichterfelde GUD
,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas
2019-01-01 00:00:00+01:00,88.0,0.0,0.0,143.0,143.0,115.0,115.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,57.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,28.0,79.0,0.0,,,239.0,71.0,0.0,412.0,41.0,63.0,
2019-01-01 01:00:00+01:00,86.0,0.0,0.0,142.0,142.0,115.0,115.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,27.0,68.0,0.0,,,176.0,71.0,0.0,319.0,24.0,65.0,
2019-01-01 02:00:00+01:00,22.0,0.0,0.0,144.0,144.0,115.0,115.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,63.0,0.0,,,159.0,72.0,0.0,157.0,24.0,64.0,
2019-01-01 03:00:00+01:00,0.0,0.0,0.0,144.0,144.0,115.0,115.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,66.0,0.0,,,159.0,71.0,0.0,146.0,24.0,64.0,
2019-01-01 04:00:00+01:00,0.0,0.0,0.0,144.0,144.0,115.0,115.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,73.0,0.0,,,159.0,72.0,0.0,145.0,24.0,64.0,
2019-01-01 05:00:00+01:00,0.0,0.0,0.0,145.0,144.0,115.0,115.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,69.0,0.0,,,158.0,72.0,0.0,144.0,24.0,65.0,
2019-01-01 06:00:00+01:00,0.0,0.0,0.0,145.0,145.0,115.0,115.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,71.0,0.0,,,158.0,72.0,0.0,145.0,24.0,66.0,
2019-01-01 07:00:00+01:00,0.0,0.0,0.0,145.0,146.0,115.0,115.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,73.0,0.0,,,149.0,77.0,0.0,145.0,24.0,62.0,
2019-01-01 08:00:00+01:00,0.0,0.0,0.0,145.0,146.0,115.0,115.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,62.0,0.0,,,139.0,73.0,0.0,145.0,24.0,56.0,
2019-01-01 09:00:00+01:00,0.0,0.0,0.0,144.0,144.0,115.0,115.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,62.0,0.0,,,135.0,71.0,0.0,144.0,24.0,56.0,
2019-01-01 10:00:00+01:00,0.0,0.0,0.0,143.0,143.0,115.0,115.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,61.0,0.0,,,135.0,72.0,0.0,144.0,24.0,56.0,
2019-01-01 11:00:00+01:00,0.0,0.0,0.0,143.0,144.0,115.0,115.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,61.0,0.0,,,135.0,72.0,0.0,144.0,24.0,56.0,
2019-01-01 12:00:00+01:00,0.0,0.0,0.0,144.0,144.0,115.0,115.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,66.0,0.0,,,135.0,72.0,0.0,145.0,24.0,56.0,
2019-01-01 13:00:00+01:00,0.0,0.0,0.0,145.0,145.0,115.0,115.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,65.0,0.0,,,135.0,71.0,0.0,145.0,24.0,56.0,
2019-01-01 14:00:00+01:00,0.0,0.0,0.0,146.0,146.0,115.0,115.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,69.0,0.0,,,135.0,71.0,0.0,146.0,33.0,56.0,
2019-01-01 15:00:00+01:00,0.0,0.0,0.0,145.0,145.0,115.0,115.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,70.0,0.0,,,182.0,71.0,0.0,145.0,48.0,56.0,
2019-01-01 16:00:00+01:00,0.0,0.0,0.0,145.0,145.0,115.0,115.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,69.0,0.0,,,243.0,71.0,0.0,145.0,48.0,57.0,
2019-01-01 17:00:00+01:00,0.0,0.0,0.0,145.0,145.0,116.0,115.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,69.0,0.0,,,244.0,71.0,0.0,145.0,48.0,56.0,
2019-01-01 18:00:00+01:00,0.0,0.0,0.0,145.0,145.0,115.0,115.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,69.0,0.0,,,147.0,71.0,0.0,144.0,48.0,57.0,
2019-01-01 19:00:00+01:00,0.0,0.0,0.0,144.0,145.0,115.0,115.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,69.0,0.0,,,135.0,72.0,0.0,144.0,48.0,57.0,
2019-01-01 20:00:00+01:00,0.0,0.0,0.0,144.0,144.0,115.0,115.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,69.0,0.0,,,135.0,72.0,0.0,144.0,48.0,56.0,
