,Bidding Zone,Installed Capacity [MW],Name,Production Type,Voltage Connection Level [kV]
26WIMPI-S01CCBLY,10YIT-GRTN-----B,19,CENTRALE DI COGENERAZIONE DI BARDONECCHIA,Fossil Gas,15
26WIMPI-S01CDRGT,10YIT-GRTN-----B,18,COGENERAZIONE DI RIVOLI CENTO,Fossil Gas,20
26WIMPI-S16CNDLL,10YIT-GRTN-----B,401,CANDELA,Fossil Gas,380
26WIMPI-S09AGPP4,10YIT-GRTN-----B,203,ENIPOWER LIVORNO,Fossil Gas,132
26WIMPI-S03T1CNB,10YIT-GRTN-----B,10,AEMTECNO,Fossil Gas,20
26WIMPI-S09RSLCK,10YIT-GRTN-----B,380,ROSELECTRA,Fossil Gas,380
26WIMZI-S13SCNDR,10YIT-GRTN-----B,175,CELANO,Fossil Gas,150
26WIMPI-S19EPRGR,10YIT-GRTN-----B,81,IMPSUD,Fossil Gas,150
26WIMPI-S08PCRTB,10YIT-GRTN-----B,704,PORTO CORSINI,Fossil Gas,380
26WIMPI-S15SGTL1,10YIT-GRTN-----B,105,POMIGLIANO D'ARCO,Fossil Gas,220
26WIMPI-S01MNCLB,10YIT-GRTN-----B,754,MONCALIERI,Fossil Gas,220
26WIMPI-S01LNEIG,10YIT-GRTN-----B,385,LEINI,Fossil Gas,380
26WIMPI-S15SCPRH,10YIT-GRTN-----B,760,SPARANISE ,Fossil Gas,380
26WIMPI-S08ERNPQ,10YIT-GRTN-----B,961,ENIPOWER RAVENNA,Fossil Gas,380
26WIMPI-S01CHVSE,10YIT-GRTN-----B,1123,CHIVASSO,Fossil Gas,380
26WIMPI-S03SRMDD,10YIT-GRTN-----B,1151,SERMIDE,Fossil Gas,380
26WIMPI-S05CPRT5,10YIT-GRTN-----B,15,CENTRALE ADRIA,Fossil Gas,132
26WIMPI-S10ETDS9,10YIT-GRTN-----B,95,TERNI,Fossil Gas,132
26WIMPI-S15NLPLI,10YIT-GRTN-----B,400,NAPOLI L,Fossil Gas,220
26WIMPI-S16CSSCB,10YIT-GRTN-----B,419,RATINO,Fossil Gas,380
26WIMPI-S03OSTG2,10YIT-GRTN-----B,1124,OSTIGLIA,Fossil Gas,380
26WIMPI-08737107,10YIT-GRTN-----B,27,Tor di Valle MCI,Fossil Gas,150
26WIMPI-0066050X,10YIT-GRTN-----B,368,TORINO NORD,Fossil Gas,220
26WIMPI-0760710Z,10YIT-GRTN-----B,61,Impianto di Bolgiano,Fossil Gas,132
26WIMPI-0361630J,10YIT-GRTN-----B,44,TERMICA COLLEFERRO,Fossil Gas,15
26WIMPI-S18EADS0,10YIT-GRTN-----B,808,ALTOMONTE,Fossil Gas,380
26WIMPI-0848721W,10YIT-GRTN-----B,41,CHPP-Augusta,Fossil Gas,150
26WIMPI-S05CSTM1,10YIT-GRTN-----B,54,CASTELMASSA,Fossil Gas,132
26WIMPI-S03SBNFX,10YIT-GRTN-----B,88,BOFFALORA,Fossil Gas,132
26WIMPI-1003453H,10YIT-GRTN-----B,19,Cassino Trigenerazione,Fossil Gas,150
26WIMPI-S04CDCAV,10YIT-GRTN-----B,55,ALTO GARDA POWER SRL,Fossil Gas,132
26WIMPI-S09IPNT0,10YIT-GRTN-----B,31,U.P. INTERECOGEN,Fossil Gas,132
26WIMPI-0904006J,10YIT-GRTN-----B,16,Nova LT16 ,Fossil Gas,132
26WIMPI-S08PLCNW,10YIT-GRTN-----B,806,PIACENZA,Fossil Gas,380
26WIMPI-S03TRBGZ,10YIT-GRTN-----B,800,TURBIGO,Fossil Gas,380
26WIMPI-S09SBRBU,10YIT-GRTN-----B,391,S.BARBARA,Fossil Gas,380
26WIMPI-S14ETEAI,10YIT-GRTN-----B,5,MASSERIA VINCELLI,Fossil Gas,20
26WIMPI-S13CTTM2,10YIT-GRTN-----B,115,CTE TAMARETE,Fossil Gas,150
26WIMPI-S18RCZZW,10YIT-GRTN-----B,760,RIZZICONI,Fossil Gas,380
26WIMPI-S03SRCOL,10YIT-GRTN-----B,16,C.T.E.C.,Fossil Gas,15
26WIMPI-S01ACTV7,10YIT-GRTN-----B,44,ACTV,Fossil Gas,132
26WIMZI-S01BVRG0,10YIT-GRTN-----B,100,VERZUOLO,Fossil Gas,132
26WIMPI-S05AZTT6,10YIT-GRTN-----B,236,AZOTATI,Fossil Gas,220
26WIMPI-S01RIQTM,10YIT-GRTN-----B,50,CENTRALE COGENERAZIONE - ROQUETTE ITALIA,Fossil Gas,132
26WIMPI-S03TVZZK,10YIT-GRTN-----B,1411,TAVAZZANO,Fossil Gas,380
26WIMPI-0300653B,10YIT-GRTN-----B,787,CCGT APRILIA,Fossil Gas,380
26WIMPI-S14ARGPA,10YIT-GRTN-----B,11,SAN NICOLA,Fossil Gas,150
26WIMPI-S03SSSN8,10YIT-GRTN-----B,106,SESTO SAN GIOVANNI,Fossil Gas,220
26WIMPI-S01ECLF6,10YIT-GRTN-----B,776,E.ON C.TE LIVORNO FERRARIS ,Fossil Gas,380
26WIMPI-S14TERME,10YIT-GRTN-----B,769,ENERGIA MOLISE,Fossil Gas,380
26WIMPI-S18RTSN9,10YIT-GRTN-----B,224,ROSSANO TE,Fossil Gas,380
26WIMPI-S12MCNTU,10YIT-GRTN-----B,934,MONTALTO C.LE,Fossil Gas,380
26WIMPI-S05PMAR7,10YIT-GRTN-----B,516,LEVANTE,Fossil Gas,220
26WIMPI-S13BSSUZ,10YIT-GRTN-----B,122,BUSSI,Fossil Gas,150
26WIMPI-S13BCRGJ,10YIT-GRTN-----B,26,AVEZZANO,Fossil Gas,150
26WIMPI-S15STTV3,10YIT-GRTN-----B,404,CENTRALE DI TEVEROLA ,Fossil Gas,380
26WIMZI-S08ESDSA,10YIT-GRTN-----B,137,SAN  QUIRICO,Fossil Gas,132
26WIMPI-1102077H,10YIT-GRTN-----B,11,COGENERAZIONE CENTRAX,Fossil Gas,132
26WIMPI-S03CLGN4,10YIT-GRTN-----B,20,LINATE 1,Fossil Gas,22
26WIMPI-S08LCCS4,10YIT-GRTN-----B,1476,LA CASELLA C.LE,Fossil Gas,380
26WIMPI-S01KMBRG,10YIT-GRTN-----B,18,KIMBERLY CLARK SRL,Fossil Gas,132
26WIMYI-S11JSEIB,10YIT-GRTN-----B,140,JESI,Fossil Gas,132
26WIMPI-S19TCRMT,10YIT-GRTN-----B,1242,TERMINI IMERESE C.LE,Fossil Gas,380
26WIMPI-S03ACMNW,10YIT-GRTN-----B,748,CASSANO,Fossil Gas,380
26WIMPI-S18SCMR8,10YIT-GRTN-----B,885,SIMERI CRICHI,Fossil Gas,380
26WIMPI-S14CTTLZ,10YIT-GRTN-----B,11,TORRENTE TONA,Fossil Gas,150
26WIMPI-S03UCTTA,10YIT-GRTN-----B,3,CARTIERA DI TOSCOLANO,Fossil Gas,132
26WIMPI-S16CDMNU,10YIT-GRTN-----B,810,SORGENIA PUGLIA CENTRALE DI MODUGNO,Fossil Gas,380
26WIMPI-S08EFNP0,10YIT-GRTN-----B,762,S.E.F. SRL,Fossil Gas,380
26WIMPI-S12SDSY8,10YIT-GRTN-----B,30,SORA,Fossil Gas,150
26WIMPI-S07CNSR2,10YIT-GRTN-----B,25,CENTRALE DI COGENERAZIONE,Fossil Gas,132
26WIMPI-S05BTRGK,10YIT-GRTN-----B,29,BORGO TRENTO,Fossil Gas,20
26WIMPI-S08CHCL6,10YIT-GRTN-----B,86,C.LE HERA CASALEGNO,Fossil Gas,132
26WIMPI-0817510V,10YIT-GRTN-----B,41,CASSINO-META,Fossil Gas,150
26WIMPI-0938745H,10YIT-GRTN-----B,29,MANTOVA CARTIERA,Fossil Gas,132
26WIMPI-S09CPLR3,10YIT-GRTN-----B,102,PORCARI,Fossil Gas,132
26WIMPI-S03CNVSF,10YIT-GRTN-----B,15,CANAVESE,Fossil Gas,20
26WIMPI-S03FERRD,10YIT-GRTN-----B,1006,ENIPOWER FERRERA ERBOGNONE,Fossil Gas,380
26WIMPI-S19PCRLE,10YIT-GRTN-----B,743,PRIOLO C.LE,Fossil Gas,220
26WIMPI-S10NMRNY,10YIT-GRTN-----B,56,NERA MONTORO,Fossil Gas,150
26WIMPI-S09RSNOR,10YIT-GRTN-----B,325,ROSEN,Fossil Gas,132
26WIMPI-S03VEGHN,10YIT-GRTN-----B,381,VOGHERA,Fossil Gas,380
26WIMPI-S06SDDT9,10YIT-GRTN-----B,105,DUINO,Fossil Gas,132
26WIMPI-S03EMC43,10YIT-GRTN-----B,813,ENIPOWER MANTOVA,Fossil Gas,380
26WIMPI-S19TCRPN,10YIT-GRTN-----B,212,TRAPANI C.LE,Fossil Gas,150
26WIMPI-S03ACMSM,10YIT-GRTN-----B,381,CTE DEL MINCIO,Fossil Gas,220
26WIMPI-S19APGPP,10YIT-GRTN-----B,446,CTE NUCE NORD,Fossil Gas,380
26WIMPI-12169602,10YIT-GRTN-----B,119,CET_SERVOLA,Fossil Gas,132
26WIMPI-S07VTDR2,10YIT-GRTN-----B,760,VADO TERM.,Fossil Gas,380
26WIMPI-S19PERTR,10YIT-GRTN-----B,140,PORTO EMPEDOCLE C.LE,Fossil Gas,150
26WIMPI-S01CEGN7,10YIT-GRTN-----B,43,COGENERAZIONE ELYO PRESSO MICHELIN CUNEO,Fossil Gas,132
26WIMPI-S06TRVC2,10YIT-GRTN-----B,867,TORVISCOSA,Fossil Gas,380
26WIMPI-S09NPMVB,10YIT-GRTN-----B,31,NUOVO PIGNONE MS,Fossil Gas,132
26WIMPI-S01NNVLN,10YIT-GRTN-----B,97,NOVEL,Fossil Gas,132
26WIMPI-S19TMRC9,10YIT-GRTN-----B,145,MILAZZO,Fossil Gas,150
26WIMPI-S12TRRVU,10YIT-GRTN-----B,1180,TORREVALDALIGA,Fossil Gas,380
26WIMPI-S14LTRNT,10YIT-GRTN-----B,248,LARINO TG,Fossil Gas,150
26WIMZI-S05CNTRC,10YIT-GRTN-----B,134,PORTO VIRO,Fossil Gas,132
26WIMPI-S03NCDCG,10YIT-GRTN-----B,15,NIC,Fossil Gas,22
26WIMPI-S18SCNDX,10YIT-GRTN-----B,821,CENTRALE DI SCANDALE,Fossil Gas,380
26WIMPI-S01FARR4,10YIT-GRTN-----B,50,ALBAPOWER SPA,Fossil Gas,132
26WIMPI-S17COVDA,10YIT-GRTN-----B,12,CENTRO OLIO VAL D'AGRI,Fossil Gas,20
26WIMZI-1129698D,10YIT-GRTN-----B,0,PRESENZANO CTE,Fossil Gas,380
26WIMPI-S10PTRFC,10YIT-GRTN-----B,365,PIETRAFITTA,Fossil Gas,220
26WIMPI-S03DBLMQ,10YIT-GRTN-----B,122,TENARIS DALMINE S.P.A.,Fossil Gas,220
26WIMPI-S08SSCMS,10YIT-GRTN-----B,10,Sicem Saga cogenerazione,Fossil Gas,132
26WIMPI-S08AGCA5,10YIT-GRTN-----B,75,RETE 2,Fossil Gas,132
26WIMPI-S05CCCL7,10YIT-GRTN-----B,11,COGE. CENTRO CITTA',Fossil Gas,20
26WIMPI-05318347,10YIT-GRTN-----B,53,GTG101/GTG501,Fossil Gas,150
26WIMPI-1188669P,10YIT-GRTN-----B,8,GH-Ostellato34,Fossil Gas,132
26WIMPI-S03CDTL1,10YIT-GRTN-----B,800,CENTRALE DI TURANO LODIGIANO - BERTONICO (LO),Fossil Gas,380
26WIMPI-S12ADRR4,10YIT-GRTN-----B,10,CENTRALE DI COGENERAZIONE AEROPORTO FIUMICINO,Fossil Gas,20
26WIMPI-S16EBNPL,10YIT-GRTN-----B,1218,ENIPOWER BRINDISI,Fossil Gas,380
26WIMPI-07528458,10YIT-GRTN-----B,12,Tioxide Europe Scarlino,Fossil Gas,132
26WIMPI-S13CDGNT,10YIT-GRTN-----B,840,GISSI,Fossil Gas,380
18WESC6-12345-07,10YES-REE------0,815.6,ESC IBER 6,Fossil Gas,400
18WBES3-12345-0V,10YES-REE------0,411.9,BESOS 3,Fossil Gas,220
18WSROQ1-1234-06,10YES-REE------0,389.8,SANROQUE1,Fossil Gas,220
18WALG3-12345--K,10YES-REE------0,820.5,ALG3,Fossil Gas,220
18WCTN3-12345-04,10YES-REE------0,782,CASTELLO 3,Fossil Gas,400
18WSAGU1-123--0J,10YES-REE------0,409.7,SAGU1,Fossil Gas,400
18WMALA1-12345-L,10YES-REE------0,415.5,MALA1,Fossil Gas,220
18WARCOS3-123-0Z,10YES-REE------0,822.8,ARCOS3,Fossil Gas,400
18W18WSRI4--123V,10YES-REE------0,426,SOTORIBE 4,Fossil Gas,400
18WARRU1-1234-0J,10YES-REE------0,394.6,ARRUBAL1,Fossil Gas,400
18WCTJON2-123-0Z,10YES-REE------0,378.9,CASTEJO2 I,Fossil Gas,400
18WPVENT1--1234A,10YES-REE------0,420.1,PVENT1,Fossil Gas,400
18WESCCC2-123-0L,10YES-REE------0,401.3,ESC GDF 2,Fossil Gas,400
18WCTN4-123456-C,10YES-REE------0,839.3,CASTELLO 4,Fossil Gas,400
18WECT2-123456-X,10YES-REE------0,274.6,ECT2,Fossil Gas,400
18WPBCN1-12345-D,10YES-REE------0,434.8,PBCN1,Fossil Gas,220
18WSAGU3-123--01,10YES-REE------0,410.6,SAGU3,Fossil Gas,400
18WCAMGI10-12-07,10YES-REE------0,392.6,CAMPGIB1,Fossil Gas,400
18WTAPOWER-12-0V,10YES-REE------0,416.9,TARRAG IB,Fossil Gas,220
18WSTC4-12345-0I,10YES-REE------0,396.4,SANTURCE 4,Fossil Gas,220
18WBES4-12345-0L,10YES-REE------0,399.7,BESOS 4,Fossil Gas,220
18WCOL4-12345-02,10YES-REE------0,390.9,COLON 4,Fossil Gas,220
18WARCOS2-123-06,10YES-REE------0,373.2,ARCOS2,Fossil Gas,400
18WCTGN2-1234-03,10YES-REE------0,417.8,ESC CART 2,Fossil Gas,400
18WPALOS1-123-0Z,10YES-REE------0,386.7,PALOS1,Fossil Gas,400
18WACE3-12345-00,10YES-REE------0,386,ACECA 3 IB,Fossil Gas,220
18WCTJON3--1234S,10YES-REE------0,418.4,CASTEJO3 H,Fossil Gas,400
18WBAHIAB-123-0X,10YES-REE------0,785.3,BAHIAB,Fossil Gas,400
18WSAGU2-123--0A,10YES-REE------0,411.8,SAGU2,Fossil Gas,400
18WPVENT2--12342,10YES-REE------0,414,Plana del Vent,Fossil Gas,400
18WESCCC3-123-0D,10YES-REE------0,395.2,ESC GDF 3,Fossil Gas,400
18WPGR5-123456-J,10YES-REE------0,855.6,P.G.RODR 5,Fossil Gas,400
18WACE4-12345-0R,10YES-REE------0,372.6,ACECA 4 UF,Fossil Gas,220
18WPALOS2-123-0R,10YES-REE------0,389.1,PALOS2,Fossil Gas,400
18WSBO3-12345-01,10YES-REE------0,391.3,SABON 3,Fossil Gas,220
18WCTGN1-1234-0C,10YES-REE------0,418.2,ESC CART 1,Fossil Gas,400
18WAMBIETA-12-0S,10YES-REE------0,786.4,AMBIETA,Fossil Gas,400
18WARCOS1-123-0E,10YES-REE------0,389.2,ARCOS1,Fossil Gas,400
18WSRI5-123456-L,10YES-REE------0,428.1,SOTO5,Fossil Gas,400
18WTFIBGES-123-9,10YES-REE------0,133.6,TFIBGES,Fossil Gas,400
18WPALOS3-123-0J,10YES-REE------0,391,PALOS3,Fossil Gas,400
18WCTNU-12345-0U,10YES-REE------0,790.6,CASTELNOU,Fossil Gas,400
18WSROQ2-1234-0Y,10YES-REE------0,401.8,SANROQUE2,Fossil Gas,220
18WECT3-123456-N,10YES-REE------0,804.3,ESCAT3,Fossil Gas,400
18WCTGN3-1234-0V,10YES-REE------0,412.7,ESC CART 3,Fossil Gas,400
18WCAMGI20--1-0D,10YES-REE------0,387.9,CAMPGIB2,Fossil Gas,400
18WCTJON1-123-06,10YES-REE------0,424.9,CASTEJO1 H,Fossil Gas,400
18WTFDETIC-123-Y,10YES-REE------0,180.7,TFDETIC,Fossil Gas,220
18WESCCC1-123-0T,10YES-REE------0,402.6,ESCCC1,Fossil Gas,400
18WPBCN2-12345-4,10YES-REE------0,431.4,PBCN2,Fossil Gas,220
18WBES5-123456-T,10YES-REE------0,859,BESOS 5,Fossil Gas,220
18WARRU2-1234-0A,10YES-REE------0,390,ARRUBAL2,Fossil Gas,400
